,Scenario,Replication,Cohort,Probability
785,2,4,35,
786,2,4,36,0.018867924528301886
787,2,4,37,
788,2,4,38,0.018867924528301886
789,2,4,39,0.02040816326530612
790,2,4,40,
791,2,4,41,
792,2,4,42,
793,2,4,43,
794,2,4,44,0.018867924528301886
795,2,4,45,
796,2,4,46,
797,2,4,47,
798,2,4,48,0.01
799,2,4,49,
800,2,4,50,
801,2,4,51,0.02127659574468085
802,2,4,52,0.011627906976744186
803,2,4,53,
804,2,4,54,
805,2,4,55,0.02631578947368421
806,2,4,56,
807,2,4,57,
808,2,4,58,
809,2,4,59,
810,2,4,60,
811,2,4,61,
812,2,4,62,
813,2,5,3,
814,2,5,4,
815,2,5,5,
816,2,5,6,0.013333333333333334
817,2,5,7,
818,2,5,8,
819,2,5,9,
820,2,5,10,
821,2,5,11,
822,2,5,12,0.012195121951219513
823,2,5,13,0.024390243902439025
824,2,5,14,
825,2,5,15,
826,2,5,16,0.013793103448275862
827,2,5,17,
828,2,5,18,
829,2,5,19,
830,2,5,20,
831,2,5,21,
832,2,5,22,
833,2,5,23,0.015503875968992248
834,2,5,24,0.007575757575757576
835,2,5,25,0.007936507936507936
836,2,5,26,
837,2,5,27,
838,2,5,28,
839,2,5,29,
840,2,5,30,
841,2,5,31,
842,2,5,32,0.013513513513513514
843,2,5,33,
844,2,5,34,
845,2,5,35,
846,2,5,36,
847,2,5,37,
848,2,5,38,
849,2,5,39,
850,2,5,40,0.025
851,2,5,41,
852,2,5,42,
853,2,5,43,
854,2,5,44,
855,2,5,45,0.007575757575757576
856,2,5,46,
857,2,5,47,0.00819672131147541
858,2,5,48,
859,2,5,49,0.017543859649122806
860,2,5,50,
861,2,5,51,
862,2,5,52,0.01639344262295082
863,2,5,53,0.030303030303030304
864,2,5,54,0.01639344262295082
865,2,5,55,0.015151515151515152
866,2,5,56,
867,2,5,57,0.014925373134328358
868,2,5,58,
869,2,5,59,
870,2,6,3,
871,2,6,4,0.013793103448275862
872,2,6,5,
873,2,6,6,0.006622516556291391
874,2,6,7,
875,2,6,8,
876,2,6,9,
877,2,6,10,
878,2,6,11,
879,2,6,12,
880,2,6,13,
881,2,6,14,
882,2,6,15,
883,2,6,16,
884,2,6,17,
885,2,6,18,
886,2,6,19,
887,2,6,20,
888,2,6,21,
889,2,6,22,
890,2,6,23,
891,2,6,24,
892,2,6,25,
893,2,6,26,
894,2,7,3,
895,2,7,4,
896,2,7,5,
897,2,7,6,0.0125
898,2,7,7,
899,2,7,8,
900,2,7,9,
901,2,7,10,0.011235955056179775
902,2,7,11,0.005747126436781609
903,2,7,12,
904,2,7,13,0.011494252873563218
905,2,7,14,0.025974025974025976
906,2,7,15,0.012048192771084338
907,2,7,16,0.01282051282051282
908,2,7,17,
909,2,7,18,
910,2,7,19,
911,2,7,20,
912,2,7,21,
913,2,7,22,
914,2,7,23,
915,2,7,24,
916,2,7,25,
917,2,7,26,
918,2,7,27,
919,2,7,28,0.017857142857142856
920,2,7,29,
921,2,7,30,
922,2,7,31,0.00980392156862745
923,2,7,32,
924,2,7,33,0.025
925,2,7,34,
926,2,7,35,
927,2,7,36,
928,2,7,37,
929,2,7,38,
930,2,7,39,
931,2,7,40,
932,2,7,41,
933,2,7,42,
934,2,7,43,
935,2,7,44,
936,2,7,45,
937,2,7,46,
938,2,7,47,
939,2,7,48,
940,2,7,49,
941,2,7,50,
942,2,7,51,
943,2,7,52,
944,2,7,53,
945,2,8,3,
946,2,8,4,
947,2,8,5,
948,2,8,6,
949,2,8,7,0.02531645569620253
950,2,8,8,0.007352941176470588
951,2,8,9,
952,2,8,10,
953,2,8,11,0.03508771929824561
954,2,8,12,
955,2,8,13,0.008771929824561403
956,2,8,14,
957,2,8,15,
958,2,8,16,0.01694915254237288
959,2,8,17,
960,2,8,18,
961,2,8,19,
962,2,8,20,
963,2,8,21,
964,2,8,22,
965,2,8,23,
966,2,8,24,
967,2,8,25,
968,2,8,26,0.02127659574468085
969,2,8,27,
970,2,8,28,0.02040816326530612
971,2,8,29,
972,2,8,30,0.024390243902439025
973,2,8,31,
974,2,8,32,
975,2,8,33,
976,2,8,34,
977,2,8,35,
978,2,8,36,
979,2,8,37,0.04
980,2,8,38,
981,2,8,39,0.04
982,2,8,40,
983,2,8,41,
984,2,8,42,
985,2,8,43,
986,2,8,44,
987,2,8,45,
988,2,8,46,
989,2,8,47,
990,2,8,48,
991,2,8,49,
992,2,8,50,
993,2,8,51,
994,2,8,52,
995,2,8,53,
996,2,8,54,
997,2,8,55,
998,2,8,56,
999,2,8,57,
1000,2,8,58,
1001,2,8,59,
1002,2,8,60,
1003,2,8,61,
1004,2,8,62,
1005,2,8,63,
1006,2,8,64,
1007,2,8,65,
1008,2,8,66,
1009,2,8,67,
1010,2,8,68,0.125
1011,2,8,69,
1012,2,8,70,
1013,2,8,71,
1014,2,9,3,
1015,2,9,4,
1016,2,9,5,0.0136986301369863
1017,2,9,6,
1018,2,9,7,0.0058823529411764705
1019,2,9,8,
1020,2,9,9,
1021,2,9,10,
1022,2,9,11,
1023,2,9,12,
1024,2,9,13,
1025,2,9,14,
1026,2,9,15,
1027,2,9,16,
1028,2,9,17,0.017857142857142856
1029,2,9,18,0.03389830508474576
1030,2,9,19,
1031,2,9,20,
1032,2,9,21,
1033,2,9,22,
1034,2,9,23,
1035,2,9,24,
1036,2,9,25,
1037,2,9,26,
1038,2,9,27,
1039,2,9,28,0.01639344262295082
1040,2,9,29,
1041,2,9,30,0.015625
1042,2,9,31,0.00819672131147541
1043,2,9,32,
1044,2,9,33,
1045,2,9,34,
1046,2,9,35,
1047,2,9,36,
1048,2,9,37,
1049,2,9,38,
1050,2,9,39,
1051,2,9,40,0.011904761904761904
1052,2,9,41,0.02127659574468085
1053,2,9,42,
1054,2,9,43,
1055,2,9,44,
1056,2,9,45,
1057,2,9,46,
1058,2,9,47,
1059,2,9,48,
1060,2,9,49,
1061,2,9,50,0.015151515151515152
1062,2,9,51,
1063,2,9,52,0.030303030303030304
1064,2,9,53,
1065,2,9,54,0.015625
1066,2,9,55,0.016129032258064516
1067,2,9,56,
1068,2,9,57,
1069,2,9,58,
1070,2,9,59,
1071,2,9,60,
1072,2,9,61,
1073,2,9,62,
1074,2,9,63,
1075,2,9,64,
1076,2,9,65,0.015625
1077,2,9,66,
1078,2,9,67,
1079,2,9,68,
1080,2,9,69,
1081,2,9,70,
1082,2,9,71,
1083,2,10,3,
1084,2,10,4,0.013793103448275862
1085,2,10,5,
1086,2,10,6,
1087,2,10,7,0.0064516129032258064
1088,2,10,8,0.013888888888888888
1089,2,10,9,0.0273972602739726
1090,2,10,10,
1091,2,10,11,0.021739130434782608
1092,2,10,12,
1093,2,10,13,0.006578947368421052
1094,2,10,14,0.013157894736842105
1095,2,10,15,0.006666666666666667
1096,2,10,16,
1097,2,10,17,
1098,2,10,18,
1099,2,10,19,0.0125
1100,2,10,20,
1101,2,10,21,
1102,2,10,22,0.01948051948051948
1103,2,10,23,
1104,2,10,24,
1105,2,10,25,0.015748031496062992
1106,2,10,26,
1107,2,10,27,0.01694915254237288
1108,2,10,28,
1109,2,10,29,
1110,2,10,30,
1111,2,10,31,
1112,2,10,32,0.014814814814814815
1113,2,10,33,0.014705882352941176
1114,2,10,34,
1115,2,10,35,
1116,2,10,36,
1117,2,10,37,
1118,2,10,38,0.02
1119,2,10,39,
1120,2,10,40,0.013888888888888888
1121,2,10,41,
1122,2,10,42,
1123,2,10,43,
1124,2,10,44,
1125,2,10,45,0.007246376811594203
1126,2,10,46,
1127,2,10,47,
1128,2,10,48,
1129,2,10,49,
1130,2,10,50,
1131,2,10,51,
1132,2,10,52,
1133,2,10,53,
1134,2,10,54,
1135,2,10,55,
1136,2,10,56,
1137,2,10,57,0.020618556701030927
1138,2,10,58,
1139,2,10,59,
1140,2,10,60,
1141,3,1,3,
1142,3,1,4,
1143,3,1,5,0.007518796992481203
1144,3,1,6,
1145,3,1,7,
1146,3,1,8,
1147,3,1,9,
1148,3,1,10,
1149,3,1,11,
1150,3,1,12,
1151,3,1,13,
1152,3,1,14,
1153,3,1,15,
1154,3,1,16,
1155,3,1,17,
1156,3,1,18,
1157,3,1,19,
1158,3,1,20,
1159,3,1,21,
1160,3,1,22,
1161,3,1,23,0.00819672131147541
1162,3,1,24,
1163,3,1,25,
1164,3,1,26,
1165,3,1,27,
1166,3,1,28,
1167,3,1,29,0.020833333333333332
1168,3,1,30,
1169,3,1,31,
1170,3,1,32,
1171,3,1,33,
1172,3,1,34,
1173,3,1,35,
1174,3,1,36,
1175,3,1,37,
1176,3,1,38,
1177,3,1,39,
1178,3,1,40,
1179,3,1,41,
1180,3,1,42,
1181,3,1,43,
1182,3,1,44,
1183,3,1,45,
1184,3,1,46,
1185,3,1,47,
1186,3,1,48,
1187,3,1,49,
1188,3,1,50,
1189,3,1,51,
1190,3,1,52,
1191,3,1,53,
1192,3,1,54,
1193,3,1,55,
1194,3,1,56,
1195,3,1,57,
1196,3,1,58,0.03225806451612903
1197,3,1,59,
1198,3,1,60,
1199,3,1,61,0.03225806451612903
1200,3,1,62,
1201,3,2,3,
1202,3,2,4,
1203,3,2,5,
1204,3,2,6,0.007042253521126761
1205,3,2,7,0.006666666666666667
1206,3,2,8,
1207,3,2,9,
1208,3,2,10,
1209,3,2,11,
1210,3,2,12,0.00684931506849315
1211,3,2,13,
1212,3,2,14,
1213,3,2,15,0.012269938650306749
1214,3,2,16,
1215,3,2,17,
1216,3,2,18,
1217,3,2,19,0.018691588785046728
1218,3,2,20,0.017857142857142856
1219,3,2,21,
1220,3,2,22,
1221,3,2,23,
1222,3,2,24,0.014705882352941176
1223,3,2,25,0.014925373134328358
1224,3,2,26,
1225,3,2,27,
1226,3,2,28,
1227,3,2,29,0.015151515151515152
1228,3,2,30,0.007142857142857143
1229,3,2,31,
1230,3,2,32,
1231,3,2,33,
1232,3,2,34,
1233,3,2,35,0.025
1234,3,2,36,
1235,3,2,37,
1236,3,2,38,0.02127659574468085
1237,3,2,39,0.021739130434782608
1238,3,2,40,
1239,3,2,41,
1240,3,2,42,0.012195121951219513
1241,3,2,43,
1242,3,2,44,
1243,3,2,45,
1244,3,2,46,
1245,3,2,47,0.03636363636363636
1246,3,2,48,
1247,3,2,49,
1248,3,2,50,
1249,3,2,51,
1250,3,2,52,
1251,3,2,53,
1252,3,2,54,0.023809523809523808
1253,3,2,55,
1254,3,2,56,
1255,3,2,57,
1256,3,2,58,0.022727272727272728
1257,3,2,59,
1258,3,2,60,
1259,3,2,61,0.02702702702702703
1260,3,2,62,
1261,3,2,63,
1262,3,2,64,
1263,3,2,65,
1264,3,3,3,
1265,3,3,4,0.007751937984496124
1266,3,3,5,
1267,3,3,6,
1268,3,3,7,
1269,3,3,8,
1270,3,3,9,
1271,3,3,10,
1272,3,3,11,
1273,3,3,12,
1274,3,3,13,
1275,3,3,14,
1276,3,3,15,
1277,3,3,16,0.014492753623188406
