essround,idno,yrbrn,agea,eisced,gndr,hincsrca,bthcld,eiscedp,eiscedf,eiscedm,hinctnta,iincsrc
1,404,1930,72,1,1,,,,,,,
1,405,1939,63,4,1,,,,,,,
1,406,1958,44,3,1,,,,,,,
1,407,1919,83,1,1,,,,,,,
1,408,1952,50,6,2,,,,,,,
1,409,1963,39,4,2,,,,,,,
1,410,1982,20,55,1,,,,,,,
1,411,1946,56,2,1,,,,,,,
1,412,1920,83,1,1,,,,,,,
1,413,1952,50,3,2,,,,,,,
1,414,1974,28,6,1,,,,,,,
1,415,1978,24,3,2,,,,,,,
1,416,1957,45,1,2,,,,,,,
1,417,1983,19,1,1,,,,,,,
1,418,1944,59,6,2,,,,,,,
1,419,1960,42,7,2,,,,,,,
1,420,1980,22,6,1,,,,,,,
1,421,1966,36,4,2,,,,,,,
1,422,9999,999,2,1,,,,,,,
1,423,1942,60,1,2,,,,,,,
1,424,1954,48,2,1,,,,,,,
1,425,1948,54,7,2,,,,,,,
1,426,1981,21,1,1,,,,,,,
1,427,1950,52,2,1,,,,,,,
1,428,1945,57,4,2,,,,,,,
1,429,9999,999,55,1,,,,,,,
1,430,1960,42,6,2,,,,,,,
1,431,1985,17,2,2,,,,,,,
1,432,1978,24,6,1,,,,,,,
1,433,1955,47,6,1,,,,,,,
1,434,1925,77,4,1,,,,,,,
1,435,1971,31,4,2,,,,,,,
1,436,1942,61,1,2,,,,,,,
1,437,9999,999,7,1,,,,,,,
1,438,1940,63,2,2,,,,,,,
1,439,9999,999,7,1,,,,,,,
1,440,9999,999,3,2,,,,,,,
1,441,1961,42,7,2,,,,,,,
1,442,1959,43,3,1,,,,,,,
1,443,1934,68,3,1,,,,,,,
1,444,1956,46,1,2,,,,,,,
1,445,1976,26,7,2,,,,,,,
1,446,1972,30,6,2,,,,,,,
1,447,1962,40,6,2,,,,,,,
1,448,1969,33,4,2,,,,,,,
1,449,1968,34,7,1,,,,,,,
1,450,1981,21,4,2,,,,,,,
1,451,1978,24,3,1,,,,,,,
1,452,1986,16,2,2,,,,,,,
1,453,1983,19,4,1,,,,,,,
1,454,1967,35,2,2,,,,,,,
1,455,1929,73,1,1,,,,,,,
1,456,1948,54,1,2,,,,,,,
1,457,1923,79,6,1,,,,,,,
1,458,1984,18,4,1,,,,,,,
1,459,1930,72,4,1,,,,,,,
1,460,1987,15,1,1,,,,,,,
1,461,1964,38,2,2,,,,,,,
1,462,1951,51,6,2,,,,,,,
1,463,1943,59,4,2,,,,,,,
1,464,1960,42,2,1,,,,,,,
1,465,1933,69,2,1,,,,,,,
1,466,1949,53,1,1,,,,,,,
1,467,1926,76,2,2,,,,,,,
1,468,1980,999,4,1,,,,,,,
1,469,1950,999,3,1,,,,,,,
1,470,1985,17,55,1,,,,,,,
1,471,1956,46,2,1,,,,,,,
1,472,1978,24,3,2,,,,,,,
1,473,1943,59,3,2,,,,,,,
1,474,1954,48,1,2,,,,,,,
1,475,1971,31,3,1,,,,,,,
1,476,1963,39,4,2,,,,,,,
1,477,1965,37,2,1,,,,,,,
1,478,1982,20,4,1,,,,,,,
1,479,1971,31,4,1,,,,,,,
1,480,1959,43,1,1,,,,,,,
1,481,1920,82,1,2,,,,,,,
1,482,1952,50,2,2,,,,,,,
1,483,1950,52,4,1,,,,,,,
1,484,1947,55,4,1,,,,,,,
1,485,1962,40,4,2,,,,,,,
1,486,1952,50,2,2,,,,,,,
1,487,9999,999,4,2,,,,,,,
1,488,1946,56,4,2,,,,,,,
1,489,9999,999,4,1,,,,,,,
1,490,1980,22,4,9,,,,,,,
1,491,1952,51,3,1,,,,,,,
1,492,1962,40,3,1,,,,,,,
1,493,1957,45,2,1,,,,,,,
1,494,1967,35,6,2,,,,,,,
1,495,1946,56,6,2,,,,,,,
1,496,1937,65,3,1,,,,,,,
1,497,1980,22,4,1,,,,,,,
1,498,1940,62,3,1,,,,,,,
1,499,9999,999,1,9,,,,,,,
1,500,1961,41,4,1,,,,,,,
1,501,1947,55,3,2,,,,,,,
1,502,1976,26,4,1,,,,,,,
1,503,9999,999,1,9,,,,,,,
1,504,1970,32,3,1,,,,,,,
1,505,1937,65,1,1,,,,,,,
1,506,1975,27,6,1,,,,,,,
1,507,1986,16,3,1,,,,,,,
1,508,1935,67,4,2,,,,,,,
